Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"27,425.81","-1,519.70",-5.25%,531.172B,18.642B,18.642B,18.642B,19.368M
ETH-USD,Ethereum USD,"1,836.74",-79.01,-4.12%,221.024B,10.1B,10.1B,10.1B,120.335M
USDT-USD,Tether USD,1.0007,-0.0004,-0.04%,82.148B,32.218B,32.218B,32.218B,82.088B
BNB-USD,BNB USD,312.82,-11.05,-3.41%,48.756B,633.938M,633.938M,633.938M,155.861M
USDC-USD,USD Coin USD,1.0001,0.0003,0.03%,30.151B,4.478B,4.478B,4.478B,30.147B
XRP-USD,XRP USD,0.421262,-0.035484,-7.77%,21.837B,1.269B,1.269B,1.269B,51.838B
ADA-USD,Cardano USD,0.362695,-0.016997,-4.48%,12.634B,325.234M,325.234M,325.234M,34.835B
STETH-USD,Lido Staked ETH USD,"1,833.69",-78.5,-4.11%,11.702B,23.291M,23.291M,23.291M,6.382M
HEX-USD,HEX USD,0.058625,0.001332,2.32%,10.166B,12.404M,12.404M,12.404M,173.411B
DOGE-USD,Dogecoin USD,0.072009,-0.00517,-6.70%,10.028B,436.795M,436.795M,436.795M,139.264B
MATIC-USD,Polygon USD,0.900149,-0.073727,-7.57%,8.326B,478.524M,478.524M,478.524M,9.249B
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
